customer_id,customer_name,gender,age,city,state,signup_date
C0001,Kavya Kumar,Female,37,Pune,Maharashtra,2022-08-12
C0002,Isha Yadav,Male,28,Bhubaneswar,Odisha,2022-01-21
C0003,Pooja Mishra,Female,28,Indore,Madhya Pradesh,2025-11-11
C0004,Pooja Mehta,Male,20,Patna,Bihar,2025-09-11
C0005,Aarav Sinha,Female,25,Ahmedabad,Gujarat,2023-04-12
C0006,Vikram Yadav,Female,54,Pune,Maharashtra,2025-06-02
C0007,Pooja Kapoor,Female,26,Gurugram,Haryana,2023-10-15
C0008,Amit Yadav,Male,22,Patna,Bihar,2023-09-10
C0009,Kavya Sinha,Male,37,Patna,Bihar,2024-02-19
C0010,Isha Kumar,Male,33,Hyderabad,Telangana,2023-04-03
C0011,Karan Roy,Female,32,Ahmedabad,Gujarat,2023-10-02
C0012,Vikram Kumar,Male,48,Bengaluru,Karnataka,2025-05-21
C0013,Priya Mishra,Female,39,Mumbai,Maharashtra,2023-10-25
C0014,Sneha Jain,Male,29,Bhopal,Madhya Pradesh,2024-08-18
C0015,Simran Das,Female,30,Kolkata,West Bengal,2022-06-29
C0016,Vikram Das,Male,29,Unknown,Unknown,2023-06-22
C0017,Priya Gupta,Male,43,Delhi,Delhi,2023-06-11
C0018,Rohan Mishra,Male,31,Bhopal,Madhya Pradesh,2022-01-22
C0019,Priya Sharma,Male,18,Bhopal,Madhya Pradesh,2025-09-30
C0020,Manish Mishra,Male,34,Nagpur,Maharashtra,2023-07-31
C0021,Neha Mehta,Female,19,Lucknow,Uttar Pradesh,2024-02-02
C0022,Priya Kapoor,Male,56,Surat,Gujarat,2024-07-10
C0023,Nisha Kumar,Male,24,Indore,Madhya Pradesh,2024-11-10
C0024,Aditya Mishra,Female,32,Indore,Madhya Pradesh,2024-01-15
C0025,Amit Mishra,Male,37,Gurugram,Haryana,2025-12-02
C0026,Isha Sinha,Female,31,Bhopal,Madhya Pradesh,2025-12-10
C0027,Rohan Mehta,Female,31,Bhubaneswar,Odisha,2025-07-19
C0028,Pooja Reddy,Male,38,Bengaluru,Karnataka,2025-05-13
C0029,Nisha Verma,Male,49,Chennai,Tamil Nadu,2025-08-14
C0030,Riya Mehta,Male,42,Gurugram,Haryana,2023-11-03
C0031,Nisha Kumar,Female,49,Pune,Maharashtra,2025-02-05
C0032,Simran Yadav,Female,24,Jaipur,Rajasthan,2023-09-29
C0033,Anjali Gupta,Female,37,Pune,Maharashtra,2024-10-20
C0034,Arjun Gupta,Female,36,Noida,Uttar Pradesh,2022-06-01
C0035,Nisha Kapoor,Male,38,Hyderabad,Telangana,2022-01-13
C0036,Kavya Sinha,Female,48,Kochi,Kerala,2023-12-16
C0037,Neha Mehta,Female,32,Noida,Uttar Pradesh,2025-01-07
C0038,Aarav Sinha,Female,30,Jaipur,Rajasthan,2024-06-24
C0039,Neha Gupta,Female,39,Mumbai,Maharashtra,2025-04-07
